author,content,title
Luis de Góngora,"

Salí, señor don Pedro, esta mañana
A ver un toro que en un Nacimiento
Con mi mula estuviera más contento
Que alborotando a Córdoba la llana.

Romper la tierra he visto en su abesana
Mis prójimos con paso menos lento,
Que él se entró en la ciudad tan sin aliento,
Y aún más, que me dejó en la barbacana.

No desherréis vuestro Zagal, que un clavo
No ha de valer la causa, si no miente
Quien de la cuerda apela para el rabo.

Perdonadme el hablar tan cortésmente
De quien, ya que no alcalde por lo Bravo,
Podrá ser, por lo Manso, presidente.",A DON PEDRO DE CÁRDENAS
Rafael Alberti,"

Decidme de una vez si no fue alegre todo aquello
5 x 5 entonces no eran todavía 25
ni el alba había pensado en la negra existencia de los malos cuchillos.
   Yo te juro a la luna no ser cocinero,
tú me juras a la luna no ser cocinera,
él nos jura a la luna no ser siquiera humo de tan tristísima cocina.
   ¿Quién ha muerto?
   La oca está arrepentida de ser pato,
el gorrión de ser profesor de lengua china,
el gallo de ser hombre,
yo de tener talento y admirar lo desgraciada
que suele ser en el invierno la suela de un zapato.
    A una reina se le ha perdido su corona,
a un presidente de república su sombrero,
a mí...
                  Creo que a mí no se me ha perdido nada,
                  que a mí nunca se me ha perdido nada,
                  que a mí...
                           ¿Qué quiere decir buenos días?",EN EL DÍA DE SU MUERTE A MANO ARMADA
Juan Ramón Jiménez,"

Arriba canta el pájaro
y abajo canta el agua.
(Arriba y abajo,
se me abre el alma).

¡Entre dos melodías,
la columna de plata!
Hoja, pájaro, estrella;
baja flor, raíz, agua.
¡Entre dos conmociones,
la columna de plata!
(¡Y tú, tronco ideal,
entre mi alma y mi alma!)

Mece a la estrella el trino,
la onda a la flor baja.
(Abajo y arriba,
me tiembla el alma).",ÁLAMO BLANCO
Delfina Acosta,"Sobre tus hombros inclinar mi rostro.
Un lirio aún vivo que encontré, contarte.
Soy la culpable de tus versos lúgubres 
donde una llama ciega y negra arde.
El pino en las neblinas es un verso,
y todo cuanto muere o cuanto nace,
la ropa de la flor, la carne blanca
de las orquídeas que al amor se abren.

Mirarte amado y verme en tu mirada,
besar tu anillo gris, pero abrazarte
como si el tiempo fuera a despedirse.

¿Qué es esto de perderse y encontrarse?
Por un camino de furiosas hojas
llegaron los fantasmas de la tarde.
Tú, mi alma sola, y yo, también, tu alma,
si rondan ya los últimos amantes.",El pino en las penumbras
Alfonsina Storni,"
A pesar de mí misma te amo; eres tan vano 
como hermoso, y me dice, vigilante, el orgullo: 
«¿Para esto elegías? Gusto bajo es el tuyo; 
no te vendas a nada, ni a un perfil de romano» 
Y me dicta el deseo, tenebroso y pagano, 
de abrirte un ancho tajo por donde tu murmullo 
vital fuera colado... Sólo muerto mi arrullo 
más dulce te envolviera, buscando boca y mano. 
?¿Salomé rediviva? ?Son más pobres mis gestos. 
Ya para cosas trágicas malos tiempos son éstos. 
Yo soy la que incompleta vive siempre su vida. 
Pues no pierde su línea por una fiesta griega 
y al acaso indeciso, ondulante, se pliega 
con los ojos lejanos y el alma distraída.",Indolencia
Manuel del Cabral,"

Ahora estás aquí.
¿Pero puedes estar?
Tú dices que te llamas... Pero no, no te llamas...
Desde que tengas nombre comienzo a no respirarte,
a confirmar que no existes,
y es probable que desde entonces no te nombre,
porque cualquier detalle, una línea, una curva,
es material de fuga;
porque cada palabra es un poco de forma,
un poco de tu muerte.
Tu puro ser se muere de presente.
Se muere hacia el contorno.
Se muere hacia la vida.",HUÉSPED SÚBITO
Antonio Fernández Lera,"Todo es cuestión
de un segundo.

Me asomo al abismo
del sueño.

Respiro sin trabas
el aire del invierno.

Me imagino el estruendo
del alfiler contra un imán

y su viaje
sin goce ni dolor.

Pienso en la piedra
que cae desde lo alto
de una montaña
y es ilocalizable
para siempre.

Pienso en la manzana
que cae del árbol,
y en los pequeños bichos
que mastican la fruta caída
llevados por la ley
del hambre.

Mi abismo es un espejo.

Siento un rumor de hojas
alrededor de mi camastro.

Veo en el cristal, junto a mi rostro,
un almacén de miradas perdidas.

Me pregunto si acaso
soy yo el archivero.",Magnetismo
Mario Benedetti,"En las manos te traigo
viejas señales
son mis manos de ahora
no las de antes

doy lo que puedo
y no tengo vergüenza
del sentimiento

si los sueños y ensueños
son como ritos
el primero que vuelve
siempre es el mismo

salvando muros
se elevan en la tarde
tus pies desnudos

el azar nos ofrece
su doble vía
vos con tus soledades
yo con las mías

y eso tampoco
si habito en tu memoria
no estaré solo

tus miradas insomnes
no dan abasto
dónde quedó tu luna
la de ojos claros

mírame pronto
antes que en un descuido
me vuelva otro

no importa que el paisaje
cambie o se rompa
me alcanza con tus valles
y con tu boca

no me deslumbres
me basta con el cielo
de la costumbre

en mis manos te traigo
viejas señales
son mis manos de ahora
no las de antes

doy lo que puedo
y no tengo vergüenza
del sentimiento.",Señales
Antonio Machado,"
Este noble poeta, que ha escuchado 
los ecos de la tarde y los violines 
del otoño en Verlaine, y que ha cortado 
las rosas de Ronsard en los jardines 
de Francia, hoy, peregrino 
de un Ultramar de Sol, nos trae el oro 
de su verbo divino. 
¡Salterios del loor vibran en coro! 
La nave bien guarnida, 
con fuerte casco y acerada prora, 
de viento y luz la blanca vela henchida 
surca, pronta a arribar, la mar sonora. 
Y yo le grito: ¡Salve! a la bandera 
flamígera que tiene 
esta hermosa galera, 
que de una nueva España a España viene.",Al maestro Rubén Darío
Jorge Luis Borges,"
Nada o muy poco sé de mis mayores 
portugueses, los Borges: vaga gente 
que prosigue en mi carne, oscuramente, 
sus hábitos, rigores y temores. 
Tenues como si nunca hubieran sido 
y ajenos a los trámites del arte, 
indescifrablemente forman parte 
del tiempo, de la tierra y del olvido. 
Mejor así. Cumplida la faena, 
son Portugal, son la famosa gente 
que forzó las murallas del Oriente 
y se dio al mar y al otro mar de arena. 
Son el rey que en el místico desierto 
se perdió y el que jura que no ha muerto.",Los Borges
Pablo Neruda,"EN el mar
tormentoso
de Chile
vive el rosado congrio,
gigante anguila
de nevada carne.
Y en las ollas
chilenas,
en la costa,
nació el caldillo
grávido y suculento,
provechoso.
Lleven a la cocina
el congrio desollado,
su piel manchada cede
como un guante
y al descubierto queda
entonces
el racimo del mar,
el congrio tierno
reluce
ya desnudo,
preparado
para nuestro apetito.
Ahora
recoges
ajos,
acaricia primero
ese marfil
precioso,
huele
su fragancia iracunda,
entonces
deja el ajo picado
caer con la cebolla
y el tomate
hasta que la cebolla
tenga color de oro.
Mientras tanto
se cuecen
con el vapor
los regios
camarones marinos
y cuando ya llegaron
a su punto,
cuando cuajó el sabor
en una salsa
formada por el jugo
del océano
y por el agua clara
que desprendió la luz de la cebolla,
entonces
que entre el congrio
y se sumerja en gloria,
que en la olla
se aceite,
se contraiga y se impregne.
Ya sólo es necesario
dejar en el manjar
caer la crema
como una rosa espesa,
y al fuego
lentamente
entregar el tesoro
hasta que en el caldillo
se calienten
las esencias de Chile,
y a la mesa
lleguen recién casados
los sabores
del mar y de la tierra
para que en ese plato
tú conozcas el cielo.",Oda al caldillo de congrio
Federico García Lorca,"
Con una cuchara 
arrancaba los ojos a los cocodrilos 
y golpeaba el trasero de los monos. 
Con una cuchara. 
Fuego de siempre dormía en los pedernales, 
y los escarabajos borrachos de anís 
olvidaban el musgo de las aldeas. 
Aquel viejo cubierto de setas 
iba al sitio donde lloraban los negros 
mientras crujía la cuchara del rey 
y llegaban los tanques de agua podrida. 
Las rosas huían por los filos 
de las últimas curvas del aire, 
y en los montones de azafrán 
los niños machacaban pequeñas ardillas 
con un rubor de frenesí manchado. 
Es preciso cruzar los puentes 
y llegar al rubor negro 
para que el perfume de pulmón 
nos golpee las sienes con su vestido 
de caliente piña. 
Es preciso matar al rubio vendedor de aguardiente 
a todos los amigos de la manzana y de la arena, 
y es necesario dar con los puños cerrados 
a las pequeñas judías que tiemblan llenas de burbujas, 
para que el rey de Harlem cante con su muchedumbre, 
para que los cocodrilos duerman en largas filas 
bajo el amianto de la luna, 
y para que nadie dude de la infinita belleza 
de los plumeros, los ralladores, los cobres y las cacerolas de las cocinas. 
¡Ay, Harlem! ¡Ay, Harlem! ¡Ay, Harlem! 
No hay angustia comparable a tus rojos oprimidos, 
a tu sangre estremecida dentro del eclipse oscuro, 
a tu violencia granate sordomuda en la penumbra, 
a tu gran rey prisionero, con un traje de conserje. 
Tenía la noche una hendidura y quietas salamandras de marfil. 
Las muchachas americanas 
llevaban niños y monedas en el vientre 
y los muchachos se desmayaban en la cruz del desperezo. 
Ellos son. 
Ellos son los que beben el whisky de plata junto a los volcanes 
y tragan pedacitos de corazón por las heladas montañas del oso. 
Aquella noche el rey de Harlem con una durísima cuchara 
arrancaba los ojos a los cocodrilos 
y golpeaba el trasero de los monos. 
Con una cuchara. 
Los negros lloraban confundidos 
entre paraguas y soles de oro, 
los mulatos estiraban gomas, ansiosos de llegar al torso blanco, 
y el viento empañaba espejos 
y quebraba las venas de los bailarines. 
Negros, Negros, Negros, Negros. 
La sangre no tiene puertas en vuestra noche boca arriba. 
No hay rubor. Sangre furiosa por debajo de las pieles, 
viva en la espina del puñal y en el pecho de los paisajes, 
bajo las pinzas y las retamas de la celeste luna de cáncer. 
Sangre que busca por mil caminos muertes enharinadas y ceniza de nardo, 
cielos yertos, en declive, donde las colonias de planetas 
rueden por las playas con los objetos abandonados. 
Sangre que mira lenta con el rabo del ojo, 
hecha de espartos exprimidos, néctares de subterráneos. 
Sangre que oxida el alisio descuidado en una huella 
y disuelve a las mariposas en los cristales de la ventana. 
Es la sangre que viene, que vendrá 
por los tejados y azoteas, por todas partes, 
para quemar la clorofila de las mujeres rubias, 
para gemir al pie de las camas ante el insomnio de los lavabos 
y estrellarse en una aurora de tabaco y bajo amarillo. 
Hay que huir, 
huir por las esquinas y encerrarse en los últimos pisos, 
porque el tuétano del bosque penetrará por las rendijas 
para dejar en vuestra carne una leve huella de eclipse 
y una falsa tristeza de guante desteñido y rosa química. 
* 
Es por el silencio sapientísimo 
cuando los camareros y los cocineros y los que limpian con la lengua 
las heridas de los millonarios 
buscan al rey por las calles o en los ángulos del salitre. 
Un viento sur de madera, oblicuo en el negro fango, 
escupe a las barcas rotas y se clava puntillas en los hombros; 
un viento sur que lleva 
colmillos, girasoles, alfabetos 
y una pila de Volta con avispas ahogadas. 
El olvido estaba expresado por tres gotas de tinta sobre el monóculo, 
el amor por un solo rostro invisible a flor de piedra. 
Médulas y corolas componían sobre las nubes 
un desierto de tallos sin una sola rosa. 
* 
A la izquierda, a la derecha, por el sur y por el norte, 
se levanta el muro impasible 
para el topo, la aguja del agua. 
No busquéis, negros, su grieta 
para hallar la máscara infinita. 
Buscad el gran sol del centro 
hechos una piña zumbadora. 
El sol que se desliza por los bosques 
seguro de no encontrar una ninfa, 
el sol que destruye números y no ha cruzado nunca un sueño, 
el tatuado sol que baja por el río 
y muge seguido de caimanes. 
Negros, Negros, Negros, Negros. 
Jamás sierpe, ni cebra, ni mula 
palidecieron al morir. 
El leñador no sabe cuándo expiran 
los clamorosos árboles que corta. 
Aguardad bajo la sombra vegetal de vuestro rey 
a que cicutas y cardos y ortigas turben postreras azoteas. 
Entonces, negros, entonces, entonces, 
podréis besar con frenesí las ruedas de las bicicletas, 
poner parejas de microscopios en las cuevas de las ardillas 
y danzar al fin, sin duda, mientras las flores erizadas 
asesinan a nuestro Moisés casi en los juncos del cielo. 
¡Ay, Harlem, disfrazada! 
¡Ay, Harlem, amenazada por un gentío de trajes sin cabeza! 
Me llega tu rumor, 
me llega tu rumor atravesando troncos y ascensores, 
a través de láminas grises 
donde flotan tus automóviles cubiertos de dientes, 
a través de los caballos muertos y los crímenes diminutos, 
a través de tu gran rey desesperado 
cuyas barbas llegan al mar.",El rey de Harlem
Rubén Darío,"
¿Recuerdas que querías ser una Margarita 
Gautier?  Fijo en mi mente tu extraño rostro está, 
cuando cenamos juntos, en la primera cita, 
en una noche alegre que nunca volverá. 
Tus labios escarlatas de púrpura maldita 
sorbían el champaña del fino baccarat; 
tus dedos deshojaban la blanca margarita, 
«Sí... no... sí... no...» ¡y sabías que te adoraba ya! 
Después, ¡oh flor de Histeria! llorabas y reías; 
tus besos y tus lágrimas tuve en mi boca yo; 
tus risas, tus fragancias, tus quejas, eran mías. 
Y en una tarde triste de los más dulces días, 
la Muerte, la celosa, por ver si me querías, 
¡como a una margarita de amor, te deshojó!",Margarita
Ramón López Velarde,"

A Carlos González Peña

Los circos trashumantes,
de lamido perrillo enciclopédico
y desacreditados elefantes,
me enseñaron la cómica friolera
y las magnas tragedias hilarantes.

El aeronauta previo,
colgado de los dedos de los pies,
era un bravo cosmógrafo al revés
que, si subía hasta asomarse al Polo
Norte, o al Polo Sur, también tenía
cuestiones personales con Eolo.

Irrumpía el payaso
como una estridencia
ambigua, y era a un tiempo
manicomio, niñez, golpe contuso,
pesadilla y licencia.

Amábanlo los niños
porque salía de una bodega mágica
de azúcares. Su faz sólo era trágica
por dos lágrimas sendas de carmín.
Su polvorosa apariencia toleraba
tenerlo por muy limpio o por muy sucio,
y un cónico bonete era la gloria
inestable y procaz de su occipucio.

El payaso tocaba a la amazona
y la hallaba de almendra,
a juzgar por la mímica fehaciente
de toda su persona
cuando llevaba el dedo temerario
hasta la lengua cínica y glotona.
Un día en que el payaso dio a probar
su rastro de amazona al ejemplar
señor Gobernador de aquel Estado,
comprendí lo que es
Poder Ejecutivo aturrullado.

¡Oh remoto payaso: en el umbral
de mi infancia derecha
y de mis virtudes recién nacidas
yo no puedo tener una sospecha
de amazonas y almendras prohibidas!

Estas almendras raudas
hechas de terciopelos y de trinos
que no nos dejan ni tocar sus caudas...

Los adioses baldíos
a las augustas Evas redivivas
que niegan la migaja, pero inculcan
en nuestra sangre briosa una patética
mendicidad de almendras fugitivas...

Había una menuda cuadrumana
de enagüilla de céfiro
que, cabalgando por el redondel
con azoros de humana,
vencía los obstáculos de inquina
y los aviesos aros de papel.

Y cuando a la erudita
cavilación de Darwin
se le montaba la enagüilla obscena,
la avisada monita
se quedaba serena.
como ante un espejismo,
despreocupada lastimosamente
de su desmantelado transformismo.

La niña Bell cantaba:
«Soy la paloma errante»;
y de botellas y de cascabeles
surtía un abundante
surtidor de sonidos
acuáticos, para la sed acuática
de papás aburridos,
nodriza inverecunda
y prole gemebunda.

¡Oh memoria del circo! Tú te vas
adelgazando en el frecuente síncope
del latón sin compás;
en la apesadumbrada
somnolencia del gas;
en el talento necio
del domador aquel que molestaba
a los leones hartos, y en el viudo
oscilar del trapecio...",MEMORIAS DEL CIRCO
Nicolás Guillén,"

La palma que está en el patio
nació sola;
creció sin que yo la viera,
creció sola;
bajo la luna y el sol,
vive sola.

Con su largo cuerpo fijo,
palma sola;
sola en el patio sellado,
siempre sola,
guardián del atardecer,
sueña sola.

La palma sola soñando,
palma sola,
que va libre por el viento,
libre y sola,
suelta de raíz y tierra,
suelta y sola,
cazadora de las nubes,
palma sola,
palma sola,
palma.",PALMA SOLA
Carmen Conde Abellán,"

Es igual que reír dentro de una campana:
sin el aire, ni oírte, ni saber a qué hueles.
Con gesto vas gastando la noche de tu cuerpo
y yo te transparento: soy tú para la vida.

No se acaban tus ojos; son los otros los ciegos.
No te juntan a mí, nadie sabe que es tuya
esta mortal ausencia que se duerme en mi boca,
cuando clama la voz en desiertos de llanto.

Brotan tiernos laureles en las frentes ajenas,
y el amor se consuela prodigando su alma.
Todo es luz y desmayo donde nacen los hijos,
y la tierra es de flor y en la flor hay un cielo.

Solamente tú y yo (una mujer al fondo
de ese cristal sin brillo que es campana caliente),
vamos considerando que la vida..., la vida
puede ser el amor, cuando el amor embriaga;
es sin duda sufrir, cuando se está dichosa;
es, segura, la luz, porque tenemos ojos.

Pero ¿reír, cantar, estremecernos libres
de desear y ser mucho más que la vida...?
No. Ya lo sé. Todo es algo que supe
y por ello, por ti, permanezco en el Mundo.",AMANTE
Blas de Otero,"

¿Es verdad que te gusta verte hundida
en el mar de la música; dejarte
llevar por esas alas, abismarte
en esa luz tan honda y escondida?

Si no es así, no ames más; dame tu vida,
que ella es la esencia y el clamor del arte;
herida estás de Dios de parte a parte,
y yo quiero escuchar solo esa herida.

Mares, alas, intensas luces libres,
sonarán en mi alma cuando vibres,
ciega de amor, tañida entre mis brazos.

Y yo sabré la música ardorosa
de unas alas de Dios, de una luz rosa,
de un mar total con olas como abrazos.",MÚSICA TUYA
José María Hinojosa,"

A Federico G. Lorca

Ladera
cubierta de hierba.

Arroyo
sin fondo.

Un lentisco
extiende sus ramas
en círculo.

El mirlo
se deja caer
con un vuelo rítmico
y clava su flecha negra
en un plano
verde, liso.

Retamas
de filamentos grises
erguidos.

Piedras
con moho amarillo.

Una cabra
y sus dos cabritillos
transponen el viso.

El silencio gira
buscando un ruido.",CAÑADA
Luis Benítez,"The nightmare, mare of the night...
La pesadilla, yegua de la noche...
                               Robert Graves


Carne que carne fue
Y amada fue
Y hoy es literatura.

Muerte que pudo ser
Y no llegó, al menos hasta ahora
Que su dibujo hago
Sobre este papel, efímero.

Esplendor que no me estaba destinado.
Hombres que no fui y no seré ya nunca,
Horas que sin venir me habían antes abandonado.

De día y de noche veo el alto caballo,
Negro de tanto contener estas cosas,
Que me observa y lo hace sin cuidarse
De papeles y de manos.

La franca pesadilla, su yegua pasta en mí
Y tú me entiendes, Robert Graves,
Bajo el suelo que guarda tu apellido.",La yegua de la noche
Luis de Góngora,"

Frescos airecillos,
Que a la Primavera
Le tejéis guirnaldas
Y esparcís violetas,

Ya que os han tenido
Del Tajo en la vega
Amorosos hurtos
Y agradables penas,

Cuando del estío
En la ardiente fuerza
Álamos os daban
Frondosas defensas;

Álamos crecidos
De hojas inciertas,
Medias de esmeraldas,
Y de plata medias;

De donde a las ninfas
Y a las zagalejas
Del sagrado Tajo
Y de sus riberas

Mil veces llamastes
Y vinieron ellas
A ocupar del río
Las verdes cenefas;

Y vosotros luego
Calándoos apriesa
Con lascivos soplos
Y alas lisonjeras,

Sueño les trajistes
Y descuido a vueltas,
Que en pago os valieron
Mil vistas secretas,

Sin tener del velo
Envidia ni queja,
Ni andar con la falda
Luchando por fuerza;

Ahora, pues, aires,
Antes que las sierras
Coronen sus cumbres
De confusas nieblas,

Y que el Aquilón
Con dura inclemencia
Desnude las plantas,
Y vista la tierra

De las secas hojas,
Que ya fueron tregua
Entre el Sol ardiente
Y la verde yerba;

Y antes que las nieves
Y el hielo conviertan
En cristal las rocas,
En vidrio las selvas,

Batid vuestras alas,
Y dad ya la vuelta
Al templado seno
Que alegre os espera.

Veréis de camino
Una Ninfa bella,
Que pisa orgullosa
Del Betis la arena,

Montaraz, gallarda,
Temida en la sierra
Más por su mirar
Que por sus saetas;

Ahora la halléis
Entre la maleza
Del fragoso monte
Siguiendo las fieras;

Ahora en el llano
Con planta ligera
Fatigando al corzo,
Que herido vuela;

Ahora clavando
La armada cabeza
Del antiguo ciervo
En la encina vieja;

Cuando ya cansada
De la caza vuelva
A dejar al río
El sudor en perlas;

Y al pie se recueste
De la dura peña,
De quien ella toma
Lección de dureza;

Llegaos a orealla,
Pero no muy cerca,
Que lleváis suspiros
Y ha corrido ella.

Si está calurosa,
Soplad desde afuera,
Y cuando la ingrata
Mejor os entienda,

Decidle, airecillos:
«Bellísima Leda,
Gloria de los bosques,
Honor de la aldea,

Enfermo Daliso
Junto al Tajo queda
Con la muerte al lado
Y en manos de ausencia;

Suplícate humilde
Antes que le vuelvan
Su fuego en ceniza,
Su destierro en tierra,

En premio glorioso
De su amor, merezca,
Ya que no suspiros,
A lo menos letra

Con la punta escrita
De tu aguda flecha,
En el campo duro
De una dura peña

(Porque no es razón
Que razón se lea
De mano tan dura
En cosa más tierna),

Adonde le digas:
Muere allá, y no vuelvas
A adorar mi sombra
Y a arrastrar cadenas.",Frescos airecillos
Fa Claes,"A veces, en la niebla, -adivinando sólo sombras-
toda la lejanía se ha encogido alrededor de ti,
un círculo sofocante para tus ojos que buscan,
tu sentido que busca.
Estás en medio de ruidos, apagados sin embargo,
en medio del campo que humea frío,
en medio de angustia y de preguntas.

Feliz aquel a quien de pronto se le desvanece
la niebla, cortina diáfana en todas partes
retrocediendo simultáneamente.
La claridad penetra cuidadosa hasta la primera casa gris,
hasta los árboles, hasta las torres y la ciudad.

Entonces, de pronto,
allá arriba brilla claro el azul celeste.
La casa se hace ladrillo, rojo,
el árbol se hace pino y verde.

Delante de ti, detrás de ti, por doquier contemplas
la lejanía de la tierra, el aire, las torres,
la luz nueva, la vida risueña.

Jurarías: por allá
-detrás del horizonte, siempre en el horizonte-
ríe y vitorea y hace señas el tiempo nuevo,
el año nuevo de pronto,
y no tienes que hacer nada
sino ser pregunta y deseo
y esperar el cumplimiento.",Detrás del hombre
Luciano Castañón,"Ignoran los problemas esenciales.
Vivir es vegetar. La Cofradía
regala a los jubilados el día
de la Patrona distintos vales

que se pueden canjear por unos reales
hechos bollo y vino. La anarquía
duerme entonces como dormiría
un enfermo inyectado por sus males.

Nada. Aire. La vejez los invade
como el corte de secular guadaña
que cercenara sus preocupaciones.

Es barato el engaño del cofrade:
«Te soleas, ríes y vives». Daña
mirar tan inservibles corazones.",Ancianos
Francisco de Quevedo,"
Las leyes con que juzgas, ¡oh Batino!, 
menos bien las estudias que las vendes; 
lo que te compran solamente entiendes; 
más que Jasón te agrada el Vellocino. 
El humano derecho y el divino, 
cuando los interpretas, los ofendes, 
y al compás que la encoges o la extiendes, 
tu mano para el fallo se previno. 
No sabes escuchar ruegos baratos, 
y sólo quien te da te quita dudas; 
no te gobiernan textos, sino tratos. 
Pues que de intento y de interés no mudas, 
o lávate las manos con Pilatos, 
o, con la bolsa, ahórcate con Judas.",A un juez mercadería
